timestamp;hashtag;trackterm;count
1572216439000;#100daysforwarren;warren;4
1572210481000;#13thdistrictstrong;trump;18
1572212695000;#abubakralbaghdadi;trump;144
1572210531000;#abu;trump;2
1572214730000;#al_baghdadi;trump;2
1572208776000;#allroadsleadtoputin;trump;6
1572213231000;#allroadsseemtoleadtoputin;trump;2
1572214461000;#amas;trump;9
1572210541000;#american;trump;2
1572205540000;#amjoy;election2020;9
1572212085000;#arkmidnight;trump;11
1572214693000;#art;trump;2
1572214123000;#australian;sanders;2
1572206704000;#baghadi;trump;6
1572204731000;#bbsuomi;trump;3
1572212482000;#bernie;sanders;11
1572214252000;#berniesanders;sanders;31
1572211604000;#berniesquad;trump;4
1572213070000;#billmaher;trump;12
1572213634000;#cannabis;sanders;4
1572210972000;#cbsnews;election2020;7
1572208918000;#chicago;warren;3
1572214129000;#contribute;election2020;2
1572212046000;#coward;trump;2
1572206379000;#criminalcomey;trump;3
1572215303000;#cuba;trump;3
1572207306000;#deaş;trump;2
1572205588000;#democrats;trump;15
1572205307000;#deplorables;trump;3
1572204776000;#detroit;election2020;3
1572214665000;#dew;trump;2
1572215629000;#donald;trump;9
1572206062000;#donaldtrump;trump;83
1572211110000;#enoughisenough;trump;2
1572205332000;#estadoislámico;trump;7
1572207126000;#evangelicals;trump;2
1572207000000;#evnews;trump;2
1572213820000;#extortion;trump;2
1572206265000;#freedom;trump;2
1572212061000;#godblessamerica;trump;3
1572207056000;#gop;trump;9
1572207584000;#greennewdeal;sanders;7
1572205274000;#healthcare;election2020;5
1572213479000;#imcrying;sanders;2
1572211172000;#impeachmentindrag;trump;3
1572209985000;#impeachmentinquiry;trump;6
1572206336000;#impeachthemftraitor;trump;4
1572215040000;#impeachtrumpforenriching;trump;2
1572210109000;#impeachtrump;trump;90
1572215736000;#isis;election2020;8
1572206523000;#istandwithilhan;trump;2
1572204537000;#joeblowhardbiden;trump;2
1572216786000;#justiceaward;trump;2
1572216168000;#k9unit;trump;2
1572215515000;#kag;trump;49
1572206359000;#koya;trump;3
1572206047000;#kpop;trump;2
1572206102000;#kypol;election2020;5
1572209035000;#latinosforbernie;sanders;4
1572209105000;#lionelnation;election2020;5
1572210136000;#losangeles;trump;2
1572205620000;#m4a;election2020;6
1572206398000;#maga;election2020;2
1572205277000;#maga;trump;90
1572210326000;#michigan;sanders;7
1572208989000;#mypresident;warren;9
1572203643000;#nancypelosi;trump;4
1572212870000;#nbcnews;election2020;7
1572214784000;#new;trump;103
1572205416000;#nobodyknowsitbetter;trump;2
1572204187000;#pentagon;trump;3
1572208885000;#photojournalist;warren;3
1572205447000;#podcast;trump;2
1572212873000;#polonia;trump;2
1572210104000;#presidementia;trump;71
1572211094000;#presidentobama;trump;2
1572204421000;#putinsusefulidiot;trump;2
1572211966000;#redbubble;trump;2
1572206120000;#resistance;trump;6
1572214693000;#resist;trump;13
1572213222000;#rojava;trump;8
1572213222000;#sdf;trump;3
1572216743000;#sharethebern;sanders;32
1572203553000;#smartnews;trump;59
1572213581000;#stochasticterrorism;trump;2
1572206542000;#sundaymotivation;trump;3
1572212044000;#sundaythoughts;warren;3
1572216733000;#syria;trump;32
1572206319000;#terroriste;trump;3
1572203767000;#thebestpresidentever45;trump;3
1572207027000;#thepresidentiswipinghisbuttwiththeusconstitution;trump;4
1572207392000;#thesquad;sanders;8
1572211604000;#thesquad;trump;3
1572215251000;#topbuzz;trump;7
1572213764000;#traitortot;trump;2
1572214376000;#trump2020landslide;trump;3
1572212184000;#trumpgenocide2019;trump;2
1572204833000;#trumpisapsychopath;trump;6
1572216422000;#trumplandslide2020;trump;4
1572216262000;#trumpnotwelcomeworldseries;trump;8
1572208214000;#trumppresser;trump;28
1572204463000;#trumpracist;trump;3
1572209775000;#trumprussia;trump;7
1572204792000;#tulsigabbard;election2020;2
1572205416000;#twitterkurds;trump;3
1572213058000;#ukrainegate;biden;3
1572207760000;#unfittobepresident;trump;2
1572211206000;#us;trump;18
1572215188000;#walkaway;election2020;6
1572209142000;#walkawayfromdemocrats;trump;5
1572206339000;#walkaway;trump;6
1572213255000;#wapodeathnotices;trump;74
1572206075000;#warren2020;trump;6
1572207203000;#world;trump;4
1572205135000;#yeswecan;election2020;8
1572213658000;#yg;trump;38
1572205674000;#ypj;trump;3
1572215749000;#البغدادي;trump;18
1572216305000;#25thamendmentnow;trump;8
1572204600000;#9news;election2020;10
1572205540000;#abcnews;election2020;7
1572209704000;#aboubakralbaghdadi;election2020;2
1572210539000;#albadghadi;trump;4
1572215802000;#albaghdadi;trump;1496
1572211945000;#amjoy;trump;3
1572212266000;#astros;trump;2
1572215336000;#auspol;election2020;3
1572206888000;#baghdadi;election2020;13
1572205474000;#bannon;trump;2
1572212441000;#bbcnewsten;trump;2
1572205257000;#bbcnews;trump;2
1572212470000;#benedictcollege;sanders;2
1572211604000;#berniebeatstrump;trump;12
1572216182000;#bernieblackout;trump;4
1572209922000;#bernieorbust;trump;3
1572211604000;#bernieyellsforus;trump;2
1572214419000;#biden2020;trump;2
1572204050000;#biden;trump;4
1572204342000;#bolsonaroestamoscontigo;trump;2
1572212571000;#bootrump;trump;3
1572212819000;#chef;trump;2
1572206407000;#clarity;trump;2
1572206253000;#collusion;trump;4
1572215633000;#ctl;trump;2
1572203400000;#daesh;trump;32
1572211787000;#democratshateamerica;trump;5
1572205498000;#democrat;trump;3
1572213783000;#detroit;sanders;56
1572215751000;#detroit;trump;3
1572207909000;#devilrats;trump;2
1572210426000;#diedlikeadog;trump;2
1572203749000;#ditchmitch;election2020;5
1572214348000;#donaldsdegreeisfake;trump;11
1572215827000;#dontletthedoorhityouintheass;trump;2
1572205864000;#dragraceuk;trump;54
1572211016000;#drainingtheswamp;trump;4
1572209972000;#dudegottago;trump;26
1572203974000;#election2020;warren;5
1572215960000;#enelmundo;trump;2
1572210345000;#enterate;trump;3
1572204604000;#featured;trump;2
1572208934000;#feedly;trump;7
1572216695000;#feeltheberniesanders;sanders;2
1572205274000;#fjg;election2020;5
1572207007000;#gavinnewsom;trump;2
1572211420000;#giletsjaunes;election2020;6
1572208642000;#gossip;trump;2
1572206069000;#hawler;trump;3
1572211583000;#healthcare;sanders;3
1572205918000;#heros;trump;4
1572210743000;#hottake;trump;3
1572215456000;#icantbewithsomeonewho;sanders;11
1572206147000;#idiot;trump;2
1572206985000;#imafraud;trump;4
1572208044000;#impeachthemf;trump;25
1572216150000;#inequality;sanders;2
1572208654000;#ireallyamthisstupid;trump;4
1572214018000;#is;trump;4
1572216456000;#itrustbernie;sanders;2
1572211429000;#ivankatrump;trump;2
1572203558000;#jewish;warren;2
1572211160000;#jointforce;trump;4
1572205341000;#kurdes;trump;2
1572209716000;#latamerica19;trump;5
1572209091000;#legalimmigrants;trump;17
1572215347000;#lindseygraham;trump;2
1572211875000;#lodigosinanestresia;trump;5
1572208648000;#mariannewilliamson;election2020;2
1572209921000;#mattis;trump;2
1572204010000;#medicareforall;warren;3
1572204212000;#mnoallegadodepaz;trump;2
1572203970000;#montana;sanders;7
1572206397000;#mostknowledgeable;warren;3
1572211854000;#msnbcmoms;election2020;7
1572212639000;#musicartist;trump;2
1572207997000;#need;trump;11
1572215583000;#neverbernie;sanders;10
1572208615000;#not4me4us;election2020;4
1572211122000;#notmeus;sanders;109
1572206523000;#notmeus;trump;9
1572210462000;#notneus;sanders;3
1572215505000;#nra;trump;4
1572215052000;#opdeatheaters;trump;2
1572214778000;#p2;sanders;2
1572206517000;#panflute;trump;2
1572212537000;#pathologicalliar;trump;2
